地区	消费支出	食品烟酒	衣着	居住	生活用品及服务	交通通信	教育文化娱乐	医疗保健	其他用品及服务
全国	14491.4	4493.9	1099.3	3200.5	889.7	1869.3	1535.9	1044.8	358
北京	31102.9	7467.8	2359.8	9497.7	2041.4	3578.6	3268.3	1914.2	975.2
天津	22343	7376.6	1859.3	4873	1295.5	2904.7	1833.8	1584.5	615.5
河北	11931.5	3263.7	971.8	2727.7	773.6	1749.3	1144.5	1027.5	273.5
山西	10863.8	2940.5	1084.8	2198.8	619.4	1214.7	1484.6	1008.6	312.4
内蒙古	16258.1	4746.4	1688	2795.2	1008.9	2405.1	1813.2	1319.7	481.5
辽宁	16068	4554.8	1477.8	3400.5	918.7	1949.7	1834.4	1419.2	512.9
吉林	13026	3531.6	1228.9	2561.3	689.5	1636.3	1550.8	1458	369.6
黑龙江	12768.8	3537.9	1292.8	2689.6	670.9	1588.4	1406.8	1258.3	324.1
上海	33064.8	9011.6	1613	10789.1	1531.6	3596.5	3311.4	2223.9	987.6
江苏	19163.6	5591.7	1385.2	4126.7	1107.2	2869.3	2238.2	1331.3	514
浙江	22552	6569.2	1587.1	5577.2	1117.7	3670.6	2169	1358.2	503.1
安徽	11727	4003.1	870.3	2541.8	694.2	1324.9	1157.3	870	265.3
福建	17644.5	6081.9	1097.5	4278.5	1032.3	2067	1667.2	926.8	493.1
江西	11088.9	3785.8	853.4	2576.6	679.3	1164.3	1151.1	635	243.4
山东	13328.9	3932.3	1168.9	2825.8	993.6	1821.9	1303	989.6	293.7
河南	11000.4	3202.4	1111.8	2208.6	875.1	1225.5	1160.8	929	287.1
湖北	12928.3	4139.7	1009.7	2810.2	813.4	1339.8	1479.8	1056.2	279.3
湖南	13288.7	4240.5	914.1	2708.4	796.9	1600.2	1764.9	972.2	291.4
广东	19205.5	6589.8	1014.6	4300.2	1116.5	2795.1	1965	890.5	533.9
广西	10274.3	3680.1	460.5	2341.5	614	1198.3	1115.3	679.3	185.3
海南	12470.6	4915	549.9	2558.2	686	1437.4	1358.4	716.8	248.8
重庆	13810.6	4971.9	1275.9	2554.4	978.8	1476.2	1319.3	966.1	268.1
四川	12368.4	4548.2	974.3	2217.3	879.6	1437	1061	964.5	286.6
贵州	9303.4	3151.9	666.3	1826.9	619.1	1080.4	1222	572	164.7
云南	9869.5	3211.5	567	2018.5	568.4	1513.6	1096.7	739.4	154.4
西藏	7317	3370.2	733.7	1311.5	399.7	796	266.7	197.6	241.5
陕西	12203.6	3405.1	944.6	2585.8	796.2	1535.4	1500.4	1178.2	257.9
甘肃	9874.6	3218.2	884.2	2015	652.1	1072.2	1092.4	737.2	203.3
青海	12604.8	3854.4	1153	2374.5	733.5	1970.1	1293	1071.2	335
宁夏	12484.5	3555.6	1170	2214.4	797.9	1763.5	1416.4	1239.9	326.7
新疆	11903.7	3855	1205.6	2226.4	669.2	1624.5	1102.2	978.3	242.4
